Month,GPR,Gold Price,Nifty Price,INR/USD ExchangeRate
01-01-2020,138.42,44.50,11962.10,71.54
01-02-2020,75.96,24.42,11201.75,72.53
01-03-2020,81.54,26.22,8597.75,75.33
01-04-2020,69.34,22.29,9859.90,75.08
01-05-2020,68.51,22.03,9580.30,75.59
01-06-2020,71.23,22.90,10302.10,75.54
01-07-2020,66.47,21.37,11073.45,74.92
01-08-2020,65.47,21.05,11387.50,73.25
01-09-2020,80.38,25.84,11247.55,73.56
01-10-2020,76.08,24.46,11642.40,74.55
01-11-2020,70.07,22.53,12968.95,73.99
01-12-2020,64.07,20.60,13981.75,73.04
01-01-2021,77.42,24.89,13634.60,72.88
01-02-2021,73.96,23.78,14529.15,73.92
01-03-2021,78.62,25.28,14690.70,73.14
01-04-2021,88.17,28.35,14631.10,74.05
01-05-2021,93.01,29.90,15582.80,72.51
01-06-2021,74.13,23.83,15721.50,74.36
01-07-2021,58.42,18.78,15763.05,74.34
01-08-2021,89.49,28.77,17132.20,72.95
01-09-2021,80.70,25.94,17618.15,74.16
01-10-2021,79.03,25.41,17671.65,74.92
01-11-2021,86.57,27.83,16983.20,75.09
01-12-2021,105.35,33.87,17354.05,74.47
01-01-2022,138.67,44.59,17339.85,74.53
01-02-2022,216.16,69.50,16793.90,75.49
01-03-2022,318.95,102.55,17464.75,75.90
01-04-2022,191.14,61.45,17102.55,76.52
01-05-2022,142.26,45.74,16584.55,77.57
01-06-2022,130.71,42.02,15780.25,78.95
01-07-2022,117.18,37.67,17158.25,79.34
01-08-2022,132.86,42.72,17759.30,79.49
01-09-2022,131.99,42.43,17094.35,81.51
01-10-2022,143.16,46.03,18012.20,82.77
01-11-2022,116.72,37.53,18758.35,81.36
01-12-2022,111.20,35.75,18105.30,82.72
01-01-2023,104.27,33.52,17662.15,81.74
01-02-2023,120.99,38.90,17303.95,82.64
01-03-2023,105.38,33.88,17359.75,82.16
01-04-2023,106.81,34.34,18065.00,81.72
01-05-2023,108.47,34.87,18534.40,82.68
01-06-2023,110.53,35.54,19189.05,82.09
01-07-2023,107.45,34.55,19753.80,82.24
01-08-2023,101.14,32.52,19253.80,82.70
01-09-2023,98.63,31.71,19638.30,83.03
01-10-2023,197.89,63.62,19079.60,83.26
01-11-2023,156.70,50.38,20133.15,83.36
01-12-2023,142.28,45.74,21731.40,83.19
01-01-2024,160.37,51.56,21725.70,83.10
01-02-2024,146.60,47.13,21982.80,82.90
01-03-2024,133.21,42.83,22326.90,83.35
01-04-2024,163.95,52.71,22604.85,83.45
01-05-2024,130.52,41.96,22530.70,83.42
01-06-2024,113.09,36.36,24010.60,83.36
01-07-2024,92.39,29.71,24951.15,83.70
01-08-2024,140.98,45.32,25235.90,83.87
01-09-2024,130.36,41.91,25810.85,83.76
01-10-2024,130.69,42.02,24205.35,84.06
01-11-2024,128.90,41.44,24131.10,84.56
01-12-2024,142.37,45.77,23644.80,85.55
01-01-2025,112.33,36.12,23508.40,86.56
01-02-2025,136.43,43.86,22124.70,87.47
01-03-2025,175.44,56.41,23519.35,85.46
01-04-2025,139.72,44.92,24334.20,84.60
01-05-2025,165.81,53.31,24750.70,85.53
01-06-2025,222.20,71.44,25517.05,85.70
01-07-2025,134.79,43.34,24768.35,87.52
01-08-2025,136.75,43.97,24426.85,88.17
01-09-2025,124.11,39.90,24611.10,88.84
01-10-2025,154.44,49.65,25722.10,88.77
01-11-2025,99.91,32.12,26202.95,89.36
