Month,GPR
01-01-2020,138.42
01-02-2020,75.96
01-03-2020,81.54
01-04-2020,69.34
01-05-2020,68.51
01-06-2020,71.23
01-07-2020,66.47
01-08-2020,65.47
01-09-2020,80.38
01-10-2020,76.08
01-11-2020,70.07
01-12-2020,64.07
01-01-2021,77.42
01-02-2021,73.96
01-03-2021,78.62
01-04-2021,88.17
01-05-2021,93.01
01-06-2021,74.13
01-07-2021,58.42
01-08-2021,89.49
01-09-2021,80.7
01-10-2021,79.03
01-11-2021,86.57
01-12-2021,105.35
01-01-2022,138.67
01-02-2022,216.16
01-03-2022,318.95
01-04-2022,191.14
01-05-2022,142.26
01-06-2022,130.71
01-07-2022,117.18
01-08-2022,132.86
01-09-2022,131.99
01-10-2022,143.16
01-11-2022,116.72
01-12-2022,111.2
01-01-2023,104.27
01-02-2023,120.99
01-03-2023,105.38
01-04-2023,106.81
01-05-2023,108.47
01-06-2023,110.53
01-07-2023,107.45
01-08-2023,101.14
01-09-2023,98.63
01-10-2023,197.89
01-11-2023,156.7
01-12-2023,142.28
01-01-2024,160.37
01-02-2024,146.6
01-03-2024,133.21
01-04-2024,163.95
01-05-2024,130.52
01-06-2024,113.09
01-07-2024,92.39
01-08-2024,140.98
01-09-2024,130.36
01-10-2024,130.69
01-11-2024,128.9
01-12-2024,142.37
01-01-2025,112.33
01-02-2025,136.43
01-03-2025,175.44
01-04-2025,139.72
01-05-2025,165.81
01-06-2025,222.2
01-07-2025,134.79
01-08-2025,136.75
01-09-2025,124.11
01-10-2025,154.44
01-11-2025,99.91
,"8,479.27"
